object	field	owner_lifetime	initializer	early_adoption	reset_destroy	copy_rule	notes
PgCarrier	protocol_scheduler_idle	carrier owned	zeroed with carrier; protocol scheduler registration and active/idle transitions maintain it	no early fallback	no dynamic destroy; PgRuntimeProtocolSchedulerUnregisterCarrier() clears it	scalar scheduler accounting flag paired with PgRuntime.protocol_scheduler idle/active counters	Whether this registered carrier is currently idle from the protocol scheduler's perspective.
PgBackend	id	backend identity	PgBackendAssignId()	no early fallback	no reset; logical id lives for backend lifetime	scalar; never copied between live backends	Unique logical backend id.
PgBackend	runtime	runtime link	InitializePgProcessRuntime()/InitializePgThreadBackendRuntimeState()	no early fallback	no destroy; runtime owns target pointer	pointer link assigned by constructor	Points at process or thread runtime.
PgBackend	carrier	carrier link	InitializePgProcessRuntime()/InitializePgThreadBackendRuntimeState()	no early fallback	no destroy; carrier owns target pointer	pointer link assigned by constructor	Physical execution vehicle link.
PgBackend	session	session link	InitializePgProcessRuntime()/InitializePgThreadBackendRuntimeState()	no early fallback	no destroy here; session object owns target	pointer link assigned by constructor	Back-reference to logical session.
PgBackend	connection	connection link	InitializePgProcessRuntime()/InitializePgThreadBackendRuntimeState()	no early fallback	no destroy here; connection object owns target	pointer link assigned by constructor	Back-reference to frontend connection.
PgBackend	execution	execution link	InitializePgProcessRuntime()/InitializePgThreadBackendRuntimeState()	no early fallback	no destroy here; execution object owns target	pointer link assigned by constructor	Back-reference to active execution.
PgBackend	interrupts	backend owned	PgBackendInitializeInterrupts()	no early fallback	backend lifetime; mailbox consumed by PgBackendConsumeInterrupts()	scalar mailbox; no pointer adoption	Logical interrupt mailbox.
PgBackend	interrupt_latch	backend borrowed link	PgBackendSetInterruptLatch()	no early fallback	not owned; latch lifetime outside bucket	pointer link; do not free here	Interrupt wake target.
PgBackend	exit_state	backend owned	PgBackendInitializeExitState()	PgBackendAdoptEarlyExitState()	PgBackendExitCleanup()/shmem_exit() drain callback stacks once and set proc_exit_done so the atexit backstop is a no-op after normal PgBackendExit(); retained_top_memory_context is preserved through closed-backend reset so thread-finish can account the carrier top context after execution memory slots are cleared; PgBackendInitializeExitState() zeros inline callback arrays, indexes, flags, and retained accounting pointers	whole bucket adoption; reset early fallback; retained_top_memory_context is a borrowed pointer captured before cleanup and must not be freed through the exit-state bucket	Backend-local exit callback state and retained top-memory accounting handoff.
PgBackend	core	backend owned	PgBackendResetCoreState()	PgBackendAdoptEarlyCoreState()	backend lifetime; latch pointer is borrowed and remaining fields are inline identity/scratch	whole bucket adoption; latch pointer must not be freed by bucket	Core backend identity and latch-facing state.
PgBackend	command	backend owned	PgBackendInitializeCommandState()	PgBackendAdoptEarlyState()	backend lifetime; argv/rusage/timeval storage borrowed or inline	whole bucket adoption	Command and command-counter state.
PgBackend	log_state	backend owned	PgBackendInitializeLogState()	PgBackendAdoptEarlyState()	backend lifetime; inline buffers and counters need no dynamic destroy	whole bucket adoption	Logging scratch state.
PgBackend	expr_interp	backend owned	PgBackendInitializeExprInterpState()	PgBackendAdoptEarlyState()	backend lifetime; dispatch table is borrowed and reverse table is inline	whole bucket adoption; dispatch table pointer must not be freed by bucket	Expression interpreter scratch state.
PgBackend	timeout	backend owned	PgBackendInitializeTimeoutState()	PgBackendAdoptEarlyState()	PgBackendResetClosedState()/PgBackendResetTimeoutClosedState() clears active timeout arrays, signal flags, handler registrations, and stale PgBackend/PgExecution target pointers for a closed logical backend	whole bucket adoption; closed-backend reset is distinct from disable_all_timeouts(), which preserves handler registrations for a live backend	Logical timeout state.
PgBackend	walsender	backend owned	PgBackendInitializeWalSenderState()	PgBackendAdoptEarlyState()	PgBackendResetClosedState() frees still-owned WAL reader/decoding context, manifest context, message buffers, replication command context, and lag tracker; shared WalSnd slot remains callback-owned	scalar early adoption only; resource pointers/StringInfo buffers must be NULL before adoption	WAL sender backend-local state.
PgBackend	replication	backend owned	PgBackendInitializeReplicationState()	PgBackendAdoptEarlyState()	PgBackendResetClosedState() disconnects stale WAL receiver connection pointers, closes lingering receiver file fd, and frees reply buffer; replication slots remain callback-owned	scalar early adoption only; slot/connection/file/StringInfo resources must be empty before adoption	Replication backend-local state.
PgBackend	logical_replication	backend owned	PgBackendInitializeLogicalReplicationState()	PgBackendAdoptEarlyState()	PgBackendResetClosedState() disconnects stale worker WAL receiver connections, closes stream BufFile, frees copy/subxact/slotsync/list/hash state, detaches launcher DSA/dshash mappings, deletes ApplyContext and the parallel-apply message context; shared worker slots/filesets remain callback-owned	scalar early adoption only; lists/contexts/HTABs/DSA/BufFile/pointers must be empty before adoption	Logical replication worker state.
PgBackend	xlog	backend owned	PgBackendInitializeXLogState()	PgBackendAdoptEarlyState()	PgBackendResetClosedState() closes lingering WAL file fd and deletes WAL debug/index redo operation contexts	scalar early adoption only; open file and memory contexts must be empty before adoption	XLog backend-local state.
PgBackend	recovery	backend owned	PgBackendInitializeRecoveryState()	PgBackendAdoptEarlyState()	PgBackendResetClosedState() destroys any retained recovery lock HTABs and clears recovery conflict/startup signal state after ShutdownRecoveryTransactionEnvironment() has owned normal virtual transaction cleanup	scalar early adoption only; recovery HTABs must be NULL before adoption	Recovery conflict and startup state.
PgBackend	maintenance_worker	backend owned	PgBackendInitializeMaintenanceWorkerState()	PgBackendAdoptEarlyState()	PgBackendResetClosedState() frees archiver error string/module state/library string/file-list heap, deletes archive context after module shutdown callback, and deletes retained background-writer, WAL-writer, checkpointer, and WAL-summarizer work contexts for closed logical workers; archive module internal allocations remain callback-owned	scalar early adoption only; archive pointers/context/library state and worker work-context pointers must be empty before adoption	Maintenance worker state.
PgBackend	autovacuum	backend owned	PgBackendInitializeAutovacuumState()	PgBackendAdoptEarlyState()	PgBackendResetClosedState() deletes AutovacMemCxt, clears database-list child context/array/worker pointer, and reinitializes list head after FreeWorkerInfo callback ownership	scalar early adoption only; list heads are reinitialized and list/context/array/worker pointers must be empty before adoption	Autovacuum state; empty early database list asserted.
PgBackend	repack	backend owned	PgBackendInitializeRepackState()	PgBackendAdoptEarlyState()	PgBackendResetClosedState() clears retained scalar locator/worker flags, deletes the repack message context, and detaches a lingering worker DSM segment after stop_repack_decoding_worker()/RepackWorkerShutdown() have owned live worker cleanup	scalar early adoption only; decoding worker, DSM segment, and message context must be NULL before adoption	Repack/check state.
PgBackend	aio	backend owned	PgBackendInitializeAioState()	PgBackendAdoptEarlyState()	pgaio_shutdown() drains in-flight IO; PgBackendResetClosedState() clears backend pointer, worker id, and borrowed uring context	scalar early adoption only; AIO backend and uring context must be NULL before adoption	AIO worker state.
PgBackend	extension_modules	backend owned	PgBackendInitializeExtensionModuleState()	PgBackendAdoptEarlyState()	PgBackendResetClosedState() detaches pg_stash_advice dshash handles and DSA mapping, deletes the local attachment memory context, clears the pg_stash_advice fixed shared-state pointer, clears the borrowed pg_prewarm autoprewarm shared-state pointer, and restores the basic_archive custom-GUC default	whole bucket adoption; shared DSM contents remain owned by DSM registry/shared memory and are not freed by this bucket; early fallback transfers the basic_archive custom-GUC backing slot into the real backend	Opaque per-backend in-tree extension attachment state bridge, currently used by basic_archive custom-GUC backing state, pg_stash_advice DSM/DSA/dshash attachments, and pg_prewarm autoprewarm shared-state attachment.
PgBackend	pgstat_pending	backend owned	PgBackendInitializePgStatPendingState()	PgBackendAdoptEarlyState()	PgBackendResetClosedState() asserts pgstat shutdown has drained pending entries, released entry refs, and detached shared hash/DSA mappings; deletes retained fixed-snapshot, local snapshot, shared-ref, entry-ref-hash, and pending-entry contexts; then reinitializes the bucket	whole bucket adoption; fixed custom snapshot data moves with fixed_snapshot_context, per-snapshot hash data moves with local.snapshot.context, and pending list, entry-ref hash, shared hash, and DSA mapping must be empty/NULL before closed-backend reset	Pending pgstat state.
PgBackend	activity	backend owned	PgBackendInitializeActivityState()	PgBackendAdoptEarlyState()	PgBackendResetClosedState() deletes backend-status snapshot context and clears local backend-status table/count; pgstat/backend status cleanup owns shared slot detachment	whole bucket adoption; backend-status snapshot context owns copied pg_stat_activity rows and strings	Activity and status-reporting scratch.
PgBackend	memory_manager	backend owned	PgBackendInitializeMemoryManagerState()	PgBackendAdoptEarlyState()	PgBackendResetClosedState() clears retained AllocSet freelist bookkeeping and log-memory-context state; it does not walk freelist links because actual freelist storage is owned by memory-context teardown or process exit	early adoption moves the freelist bucket and resets the fallback; freelist ownership remains tied to retained memory-context teardown	Memory manager bridge state.
PgBackend	utility	backend owned	PgBackendInitializeUtilityState()	PgBackendAdoptEarlyState()	PgBackendResetClosedState() detaches async global-channel dshash/DSA mappings, destroys extension sibling cache, injection-point cache, utility cache context, seq-scan tracking, resource-release callback list, formatting cache entries and their backend-owned allocation context, libxml context, and missing-attribute cache	whole bucket adoption; DCH/NUM formatting cache arrays, counters, and format_cache_context may move from early fallback, while other cache/list/context/resource callback pointers including async global-channel attachments and utility_cache_context must be empty before adoption	Utility cache/scratch state, including backend-local LISTEN/NOTIFY global-channel shared-memory attachments.
PgBackend	parallel	backend owned	PgBackendInitializeParallelState()	PgBackendAdoptEarlyState()	PgBackendResetClosedState() asserts the active ParallelContext list is empty, detaches lingering pqmq state, deletes the parallel worker message context, and clears parallel worker/leader flags after AtEOXact_Parallel() owns active context teardown	whole bucket adoption; active context list and message context must be empty before early adoption; active context list must be empty before closed-backend reset	Parallel query and pqmq backend-local state.
PgBackend	instrumentation	backend owned	PgBackendInitializeInstrumentationState()	PgBackendAdoptEarlyState()	backend lifetime; inline usage counters need no dynamic destroy	whole bucket adoption	Instrumentation scratch state.
PgBackend	buffers	backend owned	PgBackendInitializeBufferState()	PgBackendAdoptEarlyState()	PgBackendResetClosedState() asserts no retained pins/overflow refs, reinitializes constructor defaults in process-mode proc_exit after buffer callbacks, and frees local-buffer arrays/context plus private refcount arrays/hash and BackendBufferContext for non-exit retained-backend cleanup	whole bucket adoption; AtEOXact_Buffers()/AtProcExit_Buffers() own semantic pin cleanup before closed-backend reset, and process exit owns already-context-bound helper allocations	Buffer manager backend-local state.
PgBackend	storage	backend owned	PgBackendInitializeStorageState()	PgBackendAdoptEarlyState()	PgBackendResetClosedState()/PgBackendResetStorageClosedState() reclaims fd.c VFD and AllocateDesc arrays, destroys pending-sync and smgr hash/list state, deletes pending-sync and md memory contexts, and reinitializes the bucket after normal transaction/proc-exit cleanup has owned semantic file/temp-file callbacks	whole bucket adoption; smgr relation list heads are reinitialized and residual fd.c arrays are defensively closed during closed-backend reset	Storage manager backend-local state.
PgBackend	locks	backend owned	PgBackendInitializeLockState()	PgBackendAdoptEarlyState()	PgBackendResetClosedState() frees the owned fast-path counter array and deadlock detector workspace, deletes retained LWLock stats context/hash storage, then clears lock-manager scratch; normal lock/resource-owner cleanup still owns held locks, LOCALLOCK entries, lock owner arrays, and shmem-exit stats printing	whole bucket adoption; owned fast-path/deadlock allocation flags move with their pointers, while local lock hash contents and borrowed wait pointers must not be shallow-copied between concurrently live backends; LWLock stats callback stacks must be drained or reset before deleting retained stats storage	Lock manager backend-local state.
PgBackend	ipc	backend owned	PgBackendInitializeIPCState()	PgBackendAdoptEarlyState()	PgBackendResetClosedState() detaches retained DSM registry dshash/DSA mappings, frees the latch WaitEventSet, and clears proc-signal/sinval scratch after IPC exit callbacks own shared-slot release	whole bucket adoption; proc-signal and sinval shared slots remain callback-owned, local latch storage is reinitialized	IPC and sinval backend-local state.
PgBackend	transaction	backend owned	PgBackendInitializeTransactionState()	PgBackendAdoptEarlyState()	PgBackendResetClosedState() asserts the multixact cache is empty, deletes the multixact context/debug string, and clears cached transaction state after transaction abort/exit cleanup owns live state	whole bucket adoption; multixact cache must be empty before closed-backend reset	Transaction manager backend-local state.
PgBackend	pending_interrupts	backend owned	zeroed with backend	PgBackendAdoptEarlyState()	consumed/reset by interrupt application	scalar whole bucket adoption	Pending interrupt flags.
PgBackend	interrupt_holdoffs	backend owned	zeroed with backend	PgBackendAdoptEarlyState()	reset by backend lifecycle	scalar whole bucket adoption	Holdoff and critical-section counters.
PgBackend	wait_state	backend owned	PgBackendInitializeWaitState()	PgBackendAdoptEarlyState()	PgBackendResetClosedState() clears current wait fields and repairs the wait-event pointer to the backend-local slot	whole bucket adoption; early adoption repairs pointers that referenced fallback local wait storage	Wait-event backend-local state.
PgBackend	protocol_park	backend owned	PgBackendInitializeProtocolParkState()	no early fallback	no destroy currently; scheduler remove/resume paths unlink parked/runnable nodes before backend exit	whole bucket initialization; scheduler_node must be initialized before a backend can enter protocol scheduler queues	Protocol-boundary park state, wake generations, deferred notify marker, and scheduler queue node.
PgBackend	my_proc	shared-memory borrowed link	PgBackendInitializeProcNumberState()	PgBackendAdoptEarlyState()	shared PGPROC lifecycle owns object	pointer link; do not free	Current PGPROC pointer.
PgBackend	my_proc_number	backend identity	PgBackendInitializeProcNumberState()	PgBackendAdoptEarlyState()	no destroy; scalar identity	scalar copy on adoption	Current ProcNumber.
PgBackend	parallel_leader_proc_number	backend identity	PgBackendInitializeProcNumberState()	PgBackendAdoptEarlyState()	no destroy; scalar identity	scalar copy on adoption	Parallel leader ProcNumber.
PgBackend	my_beentry	shared-memory borrowed link	zeroed with backend	PgBackendAdoptEarlyState()	shared PgBackendStatus lifecycle owns object	pointer link; do not free	Current backend status entry.
PgBackend	my_bgworker_entry	shared-memory borrowed link	zeroed with backend	PgBackendAdoptEarlyState()	postmaster/bgworker registry owns object	pointer link; do not free	Background worker registration entry.
PgBackend	aux_process_resource_owner	backend borrowed link	zeroed with backend	PgBackendAdoptEarlyState()	resource owner cleanup owns target	pointer link; target cleanup external	Auxiliary process resource owner.
PgBackend	dsm_segment_list	backend owned	PgBackendInitializeDsmSegmentList()	PgBackendAdoptEarlyDsmSegmentList()	PgBackendResetDsmSegmentList() detaches outstanding mappings and reinitializes the list; PgBackendResetDsmStateAfterFork() drops fork-copied early DSM list links without detaching or changing refcounts because the child did not attach those mappings as its logical backend	move early fallback nodes with dlist operations; never shallow-copy a dlist_head; fork reset discards copied list links rather than treating them as owned child mappings	Backend-local DSM segment list.
PgBackend	backend_type	backend identity	InitializePgProcessRuntime()/InitializePgThreadBackendRuntimeState()	no early fallback	no destroy; scalar identity	scalar assigned by constructor	BackendType classification.
PgSession	backend	backend link	InitializePgProcessRuntime()/InitializePgThreadBackendRuntimeState()	no early fallback	no destroy here; backend owns target	pointer link assigned by constructor	Back-reference to backend object.
PgSession	connection	connection link	InitializePgProcessRuntime()/InitializePgThreadBackendRuntimeState()	no early fallback	no destroy here; connection owns target	pointer link assigned by constructor	Back-reference to connection object.
PgSession	execution	execution link	InitializePgProcessRuntime()/InitializePgThreadBackendRuntimeState()	no early fallback	no destroy here; execution owns target	pointer link assigned by constructor	Back-reference to active execution.
PgSession	legacy_session	session owned compatibility payload	InitializeSession()/PgSessionGetLegacySession()	PgCurrentLegacySession() and PgCurrentLegacySessionRef() use the process-session object fallback for pre-current legacy callers	PgSessionResetClosedState() clears legacy_session after shmem_exit/DetachSession paths have detached DSM/DSA mappings and after legacy_session_context reset has deleted the payload context	pointer link; payload is allocated under legacy_session_context and is not copied; endpoint is folding access/session.h payload into PgSession	Bridge to access/session.h Session and the CurrentSession compatibility macro.
PgSession	legacy_session_context	session owned compatibility context	created by PgSessionGetLegacySession()	no early fallback	PgSessionResetClosedState() deletes context and clears legacy_session	context pointer owned by session; never copied across sessions	Allocation endpoint for the legacy access/session.h payload while the bridge remains.
PgSession	loop_state	session owned	PgSessionInitializeLoopState()	PgSessionAdoptEarlyState()	reset on session creation; no separate destroy	scalar whole bucket adoption	PostgresMain loop flags.
PgSession	tcop	session owned	PgSessionInitializeTcopState()	PgSessionAdoptEarlyState()	PgSessionResetClosedState() drops any leftover unnamed cached plan and deletes row_description_context	scalar switch flags may be adopted from early fallback; unnamed_stmt_psrc and row_description_context/buffer must be empty before early adoption and must never be shallow-copied between live sessions; row_description_context owns the reusable row_description_buf storage	PostgresMain session protocol state for unnamed prepared statement, interactive switches, and reused RowDescription buffer.
PgSession	database	session owned	zeroed with session	PgSessionAdoptEarlyState()	PgSessionResetClosedState() deletes database_path_context and falls back to pfree only for legacy/test-owned database_path strings without a context	scalar/pointer whole bucket adoption; database_path_context, database_path, and the ownership flag move together, and the path must not be shallow-copied between live sessions	Current database/user namespace state.
PgSession	tablespace	session owned	PgSessionInitializeTablespaceState()	PgSessionAdoptEarlyState()	GUC reset machinery owns string allocations; bucket owns pointer slots and scalars	whole bucket adoption; string variables rebound through RebindSessionGUCVariablePointers()	Tablespace GUC/session state.
PgSession	binary_upgrade	session owned	PgSessionInitializeBinaryUpgradeState()	PgSessionAdoptEarlyState()	no dynamic destroy currently	scalar whole bucket adoption	Binary upgrade OID override state.
PgSession	datetime	session owned	PgSessionInitializeDateTimeState()	PgSessionAdoptEarlyState()	GUC reset machinery owns DateStyle/timezone string allocations and the timezone-abbreviation table extra value; pg_tz cache owns timezone objects; timezone-abbreviation lookup cache is inline session scratch reset by InstallTimeZoneAbbrevs()/ClearTimeZoneAbbrevCache()	whole bucket adoption; string variables rebound through RebindSessionGUCVariablePointers(); timezone-abbreviation table pointer is borrowed and inline cache is copied with the bucket	Date/time session state and timezone-abbreviation cache.
PgSession	parser	session owned	PgSessionInitializeParserState()	PgSessionAdoptEarlyState()	PgSessionResetClosedState() destroys operator lookup hash	whole bucket adoption; operator lookup hash belongs to session	Parser session state.
PgSession	vacuum	session owned	PgSessionInitializeVacuumState()	PgSessionAdoptEarlyState()	PgSessionResetClosedState() restores vacuum GUC/default scalars after vacuum cleanup owns active allocations	scalar whole bucket adoption	Vacuum session GUC/cache state.
PgSession	buffer_io	session owned	PgSessionInitializeBufferIOState()	PgSessionAdoptEarlyState()	no dynamic destroy currently; scalar GUC backing state	scalar whole bucket adoption	Buffer I/O session state.
PgSession	xact_defaults	session owned	PgSessionInitializeXactDefaultState()	PgSessionAdoptEarlyState()	no dynamic destroy currently; scalar GUC backing state	scalar whole bucket adoption	Transaction default GUC state.
PgSession	lock_wait	session owned	PgSessionInitializeLockWaitState()	PgSessionAdoptEarlyState()	PgSessionResetClosedState() restores lock-wait GUC/default scalars after LockErrorCleanup()/ProcSleep() own active wait state	scalar whole bucket adoption	Lock wait GUC/state.
PgSession	logging	session owned	PgSessionInitializeLoggingState()	PgSessionAdoptEarlyState()	GUC reset machinery owns string allocations; backtrace assign hook owns parsed list string	whole bucket adoption; string variables rebound through RebindSessionGUCVariablePointers()	Logging GUC state.
PgSession	misc_guc	session owned	PgSessionInitializeMiscGUCState()	PgSessionAdoptEarlyState()	GUC reset machinery owns string allocations; dynamic-library handles/lists are owned separately; update_process_title is scalar GUC backing state	whole bucket adoption; string variables rebound through RebindSessionGUCVariablePointers(); process-title flag is copied scalar state	Miscellaneous session GUC state.
PgSession	guc	session owned	PgSessionInitializeGUCState()	PgSessionAdoptEarlyState()	PgSessionResetClosedState() deletes GUCMemoryContext, which owns the per-session copied GUC records, hash table, custom variable records, stack entries, and list nodes; reset reinitializes list heads and scalar flags; runtime-global reserved GUC prefixes deliberately use runtime-lifetime storage under PgRuntime.extension_modules, not this session context	whole bucket adoption; early fallback transfers the GUC context, record array, hash table, list heads, reporting flag, and nest level into the real session, then reinitializes fallback storage; these pointers/lists must not be shallow-copied between concurrently live sessions	Central per-session GUC registry and transaction/reporting state.
PgSession	pgstat	session owned	PgSessionInitializePgStatState()	PgSessionAdoptEarlyState()	PgSessionResetClosedState() restores pgstat tracking/fetch/session-end defaults after pgstat shutdown owns session stats reporting and refs	whole bucket adoption	Pgstat session state.
PgSession	query_id	session owned	PgSessionInitializeQueryIdState()	PgSessionAdoptEarlyState()	no dynamic destroy currently	scalar whole bucket adoption	Query ID GUC state.
PgSession	storage_guc	session owned	PgSessionInitializeStorageGUCState()	PgSessionAdoptEarlyState()	no dynamic destroy currently; scalar GUC backing state	scalar whole bucket adoption	Storage GUC state.
PgSession	user_guc	session owned	PgSessionInitializeUserGUCState()	PgSessionAdoptEarlyState()	GUC reset machinery owns createrole_self_grant string; assign hook owns derived scalar fields	whole bucket adoption; string variables rebound through RebindSessionGUCVariablePointers()	User/session GUC state.
PgSession	user_identity	session owned	PgSessionInitializeUserIdentityState()	PgSessionAdoptEarlyState()	session authorization/reset-role paths own identity changes; PgSessionResetClosedState() deletes system_user_context, falls back to pfree only for legacy/test-owned system_user strings without a context, frees role-membership cache lists, and invalidates cached roles	scalar/pointer whole bucket adoption; system_user_context, system_user, and the ownership flag move together; role-membership cache lists are object slots whose list cells are copied into TopMemoryContext by acl.c and released by session reset	Current user identity and role-membership cache state.
PgSession	command_guc	session owned	PgSessionInitializeCommandGUCState()	PgSessionAdoptEarlyState()	no dynamic destroy currently; scalar GUC backing state	scalar whole bucket adoption	Command GUC state.
PgSession	replication_guc	session owned	PgSessionInitializeReplicationGUCState()	PgSessionAdoptEarlyState()	no dynamic destroy currently; scalar GUC backing state	scalar whole bucket adoption	Replication GUC state.
PgSession	logical_replication	session owned	PgSessionInitializeLogicalReplicationState()	PgSessionAdoptEarlyState()	PgSessionResetClosedState() deletes logical relation-map and partition-map contexts, destroys fallback hashes if any, destroys pgoutput relation sync hash, and resets scalar validity flags; replication-origin shared refcount cleanup remains owned by replorigin_session_reset()/ReplicationOriginExitCleanup()	early adoption asserts all pointer/hash/context slots are empty; relation-map contexts own their hashes and entries; pgoutput relation sync hash is a session cache; session_replication_state is a borrowed shared-memory pointer that must not be shallow-copied between concurrently live sessions	Logical replication session caches for replication origin, subscriber relation maps, pgoutput relation sync, and sync-worker relation-state validity.
PgSession	general_guc	session owned	PgSessionInitializeGeneralGUCState()	PgSessionAdoptEarlyState()	GUC reset machinery owns role/session-authorization string allocation; bucket owns compatibility pointer slots and scalars	whole bucket adoption; string variables rebound through RebindSessionGUCVariablePointers()	General GUC state.
PgSession	access_wal_guc	session owned	PgSessionInitializeAccessWalGUCState()	PgSessionAdoptEarlyState()	GUC reset machinery owns string allocations; wal_consistency bitmap is GUC/check-hook owned	whole bucket adoption; wal_consistency pointer must not be freed by bucket	Access/WAL GUC state.
PgSession	jit_guc	session owned	PgSessionInitializeJitGUCState()	PgSessionAdoptEarlyState()	GUC reset machinery owns jit_provider string allocation; bucket owns pointer slot and scalars	whole bucket adoption; string variables rebound through RebindSessionGUCVariablePointers()	JIT GUC state.
